source_name,priority_source,url,frequency,business_model,audience,content_focus,size,notes
HipHopDX News,FALSE,https://hiphopdx.com/news,Daily,Ad-Supported,Hip-Hop Fans,Hip-hop news and analysis,N/A,Targeted hip-hop coverage
Hot Press,FALSE,https://www.hotpress.com/,Weekly,Ad-Supported,Irish Music Audience,Local + Global Artists,Moderate,"Ireland-based, music and arts hybrid"
Hype Machine,FALSE,https://hypem.com/,Weekly,Ad-Supported,Urban & Hip-Hop Fans,Playlist Blog Aggregator,Moderate,Strong roots in hip-hop culture
Hypebot,FALSE,https://www.hypebot.com,Daily,Ad-Supported,Industry Professionals,"Music tech, marketing, DIY",Moderate (per SimilarWeb),Traffic estimated by SimilarWeb
Jezebel (music),FALSE,https://www.jezebel.com/music,Unknown,Ad-Supported,General Public,Celebrity & Culture,High,"Focus on celebrity, politics, and entertainment."
Longreads Music,FALSE,https://longreads.com/?s=music,Occasional,,,,,
Los Angeles Times,FALSE,https://www.latimes.com/entertainment-arts/music,Daily,Subscription,General Public,Music News & Reviews,High,Comprehensive music coverage.
Los Angeles Times - Music,FALSE,https://www.latimes.com/entertainment-arts/music,Daily,Ad-Supported,West Coast General Audience,"Pop, Hip-Hop, Live Music",Moderate,Focused LA culture/music coverage
Loud And Quiet,FALSE,https://www.loudandquiet.com/,Weekly,Ad-Supported,UK Indie Fans,"Alt, Indie Rock",Niche,Small but critical darling among UK blogs
MBW – Stat of the Week,FALSE,https://www.musicbusinessworldwide.com,Weekly,Freemium,Industry Professionals,Financial and strategic analysis,High,Found within main MBW feed
Metal Injection,FALSE,https://metalinjection.net,Daily,Ad-Supported,Metal Fans,Metal news and culture,N/A,Metal niche
MIDiA Research Blog,FALSE,https://www.midiaresearch.com/blog,Weekly,Subscription / Consulting,"Music + tech execs, investors","Market analysis, trends, consumer behavior",Medium,Part of MIDiA’s analyst firm
Music Biz NEXT,FALSE,https://musicbiz.org/news/,Occasional,Sponsored / Association,"Music execs, members","Trends, strategy, tech",N/A,Operated by Music Biz association
Music Lists | ScreenRant,FALSE,https://screenrant.com/tag/music-lists/,Weekly,Ad-Supported,Pop Culture Fans,Music ranking and lists,High (Valnet Media),Owned by Valnet Inc.
MusicREDEF (Jason Hirschhorn),FALSE,https://redef.com/music,Daily,Free / Email signup,"Execs, tastemakers",Curated industry links with commentary,High,"No original reporting, but great filter"
Network Notes (Motive Unknown),FALSE,https://networknotes.motiveunknown.com/,Daily,Free / Community-Focused,"Music Execs, Marketers, Artists","Music, tech, app and industry news aggregation",N/A,Curated by Darren Hemmings
Newsweek - Music,FALSE,https://www.newsweek.com/topic/music,Daily,Ad-Supported,General Public,Mainstream music news and pop culture,High (Global Media Site),Generalist outlet with music tag
NME,FALSE,https://nme.com,Daily,Ad-Supported,General Music Fans,Music news and reviews,High (UK-based),UK legacy outlet
Okayplayer,FALSE,https://www.okayplayer.com/,Weekly,Ad-Supported,Hip-Hop/R&B Fans,"Hip-Hop, Politics, Culture",Moderate,Fast hip-hop release coverage
Passion of the Weiss,FALSE,https://www.passionweiss.com/,Occasional,Ad-Supported,Music Enthusiasts,Music Criticism,Niche,Independent music blog.
Patti Smith,FALSE,http://pattismith.substack.com/,Occasional,Freemium (Substack),Fans of Patti Smith,Personal updates and reflections,N/A,Substack creator page
Penny Fractions,FALSE,https://pennyfractions.ghost.io,Weekly,Free,"Industry Analysts, Critics","Music economics, streaming critique",N/A,By David Turner (ex-MBW)
Pitchfork: Album Reviews,FALSE,https://pitchfork.com/reviews/albums/,Daily,Ad-Supported / Conde Nast,Music Fans / Critics,Album reviews,N/A,Owned by Conde Nast
Pitchfork: Features,FALSE,https://pitchfork.com/features/,Ongoing,Ad-Supported / Conde Nast,Music Fans / Critics,Long-form music features,N/A,Conde Nast-owned
Pitchfork: News,FALSE,https://pitchfork.com/news/,Daily,Ad-Supported / Conde Nast,Music Fans / Critics,Music news,N/A,Owned by Conde Nast
Pitchfork: Track Reviews,FALSE,https://pitchfork.com/reviews/tracks/,Occasional,Ad-Supported / Conde Nast,Music Fans / Critics,Track reviews,N/A,Owned by Conde Nast
Platform & Stream,FALSE,N/A,Daily,Possibly Paid,Industry Professionals,Streaming platforms & business,N/A,Mentioned as a direct competitor with daily cadence
Pollstar Pro,FALSE,https://www.pollstar.com,Weekly,Subscription,Live music professionals,"Touring, ticketing, live analytics",N/A,Paywalled professional data product
PopMatters,FALSE,https://www.popmatters.com/,Daily,Ad-Supported,General Pop Culture,Essays and Reviews,Moderate,Global music criticism and essays
Questlove Supreme,FALSE,https://www.iheart.com/podcast/1119-questlove-supreme-29220738/,Weekly,Ad-Supported (Podcast),General Audience,Interviews with music legends,N/A,Podcast only
Rap-Up,FALSE,https://www.rap-up.com/,Weekly,Ad-Supported,Dancehall/Caribbean Fans,"Hip-Hop, R&B",Moderate,Jamaican industry perspective
Resident Advisor,FALSE,https://www.residentadvisor.net/,Daily,Ad-Supported,Electronic Music Fans,Electronic Music Scene,Niche but Global,Leading global electronic music publication
Reuters - Entertainment (Music),FALSE,https://www.reuters.com/lifestyle/entertainment/,Daily,Ad-Supported / Syndicated,Global News Consumers,"Music business news, global trends",High,Wire service with international reach
RightsTech Newsletter,FALSE,https://www.rightstech.com,Weekly,Ad-Supported / Sponsored,"Rights professionals, Tech execs","IP, rights, licensing",N/A,Niche focus on monetization tech
RollingStone.com: Music,FALSE,https://rollingstone.com/music,Daily,Ad-Supported / PMC,General Music Fans,Comprehensive music coverage,170 articles saved,Number of saved articles in user folder
Screen Rant - Music Features,FALSE,https://screenrant.com/music/,Weekly,Ad-Supported,Pop Culture Fans,Mainstream music and features,High (Valnet Media),Owned by Valnet Inc.
SonoSuite Newsletter,FALSE,https://sonosuite.com,Occasional,Platform promotional,"Distributors, DIY artists","Streaming trends, royalties",N/A,Owned by distribution platform
Spotify for Artists,FALSE,https://artists.spotify.com,Occasional,Platform-Supported,Artists / Labels,"Tips, tools and platform updates",N/A,Spotify-owned platform
Starship Casual,FALSE,https://jefftweedy.substack.com/,Occasional,Freemium,Fans of Jeff Tweedy,Personal stories and music commentary,N/A,Substack creator; estimate based on Tweedy's popularity
The Independent - Music,FALSE,https://www.independent.co.uk/arts-entertainment/music,Daily,Ad-Supported,UK General Public,Music News and Culture,Moderate,"Indie/alt-leaning, strong digital reporting"
The Japan Times - Music,FALSE,https://www.japantimes.co.jp/culture/music/,Weekly,Ad-Supported,Global Arts & Music Readers,Japanese and International Music News,Moderate,FT music stories often cross over with investment coverage
The Line of Best Fit,FALSE,https://www.thelineofbestfit.com/,Daily,Ad-Supported,Global Indie Music Fans,"Indie, Electronic, Pop",Moderate,UK indie-pop leaning publication
The Quietus,FALSE,https://thequietus.com/,Weekly,Ad-Supported,Experimental Music Fans,"Avant-garde, Critical Essays",Niche,Experimental and critical writing
The Telegraph - Music,FALSE,https://www.telegraph.co.uk/music/,Daily,Subscription,"UK Public, Arts Readers","News, Reviews, Interviews",High,"Traditional UK broadsheet, includes classical reviews"
Trapital,FALSE,https://trapital.co,Weekly,Paid Subscription,Industry Professionals,Hip-hop business analysis,N/A,Estimated; no direct source
Under the Radar,FALSE,https://www.undertheradarmag.com/,Weekly,Ad-Supported,Indie Rock Fans,"Alternative, Indie",Moderate,Known for smart indie and alt coverage
UPROXX,FALSE,https://uproxx.com/music,Daily,Ad-Supported,General Audience,Pop culture and music,High (Vox Media property),Part of Vox Media
Water & Music,FALSE,https://www.waterandmusic.com/archive,Weekly,Subscription / Community,"Industry Professionals, Artists","Music, tech, creativity",N/A,Founded by Cherie Hu
WaterTower Insights,FALSE,https://watertowerinsights.substack.com,Weekly,Free (Substack),"Strategy folks, music/TV/tech crossers","Strategic insights, rights, M&A",N/A,From WaterTower VC partners
